mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_regressor,param_selector,param_regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.500655508041382,0.21131632388447846,0.00454864501953125,0.0018070258066438412,5,Lasso(max_iter=5000),passthrough,0.004046923650308744,"OrderedDict({'poly__degree': 5, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.004046923650308744, 'selector': 'passthrough'})",-0.13636009203188476,-0.09702648403241194,-0.24193823317789218,-0.1002553456463752,-0.10456423117638844,-0.1360288772129905,0.054786599764769545,1
1.5686373233795166,0.19471961291366804,0.0052851676940917965,0.0006722352710004788,5,Lasso(max_iter=5000),passthrough,0.0035745335041814734,"OrderedDict({'poly__degree': 5, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.0035745335041814734, 'selector': 'passthrough'})",-0.14429633731601965,-0.094587017984309,-0.24928085920152285,-0.09762045765076886,-0.10205795673147787,-0.13756852577681966,0.05870122240693849,2
1.6735724449157714,0.1346569800210368,0.00544281005859375,0.0012438025068493015,5,Lasso(max_iter=5000),passthrough,0.0033962632589931404,"OrderedDict({'poly__degree': 5, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.0033962632589931404, 'selector': 'passthrough'})",-0.1506600792886852,-0.09374636102926584,-0.24667471648400122,-0.09741232637645965,-0.10086249173749649,-0.13787119498318168,0.05823285496879349,3
1.6400609970092774,0.13756238422116931,0.004660749435424804,0.0008513074571507218,5,Lasso(max_iter=5000),passthrough,0.003393647293902067,"OrderedDict({'poly__degree': 5, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.003393647293902067, 'selector': 'passthrough'})",-0.15075695075897383,-0.09373513592872271,-0.2466303708726382,-0.09742619584526531,-0.10084693586779532,-0.13787911785467907,0.05822230870615773,4
1.8547607898712157,0.10135473661361431,0.004954671859741211,0.0008666423537385857,5,Lasso(max_iter=5000),passthrough,0.003266410938645983,"OrderedDict({'poly__degree': 5, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.003266410938645983, 'selector': 'passthrough'})",-0.15536890579330123,-0.09321136735312592,-0.2435727572368669,-0.0982412202275234,-0.10006690331003043,-0.13809223078416957,0.05739851119032056,5
1.7552515506744384,0.025315659996167812,0.00490570068359375,0.0010406943940589628,5,Lasso(max_iter=5000),passthrough,0.0027547819623803785,"OrderedDict({'poly__degree': 5, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.0027547819623803785, 'selector': 'passthrough'})",-0.1902033757766849,-0.09130118718362103,-0.23407730368320412,-0.10022241007717117,-0.09691028676837206,-0.14254291269781066,0.05856473409640104,6
2.1211071014404297,0.10261173001270892,0.006192636489868164,0.0026448458068036584,5,Lasso(max_iter=5000),passthrough,0.001002603929589632,"OrderedDict({'poly__degree': 5, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.001002603929589632, 'selector': 'passthrough'})",-0.4900116838241362,-0.08478845529351763,-0.2926071326776582,-0.1122728007227894,-0.08791641655239939,-0.2135192978141002,0.1583044483995879,7
1.9432959079742431,0.09990179632369107,0.005469417572021485,0.0008501292261275035,5,Lasso(max_iter=5000),passthrough,0.001,"OrderedDict({'poly__degree': 5, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.001, 'selector': 'passthrough'})",-0.49084560204161115,-0.0847669874807966,-0.2929331955195304,-0.11228599988903097,-0.0879059190653679,-0.21374754079926742,0.1586318030135059,8
5.39386510848999,0.27893010632708926,0.007372570037841797,0.0029619517677335607,6,Lasso(max_iter=5000),passthrough,0.001,"OrderedDict({'poly__degree': 6, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.001, 'selector': 'passthrough'})",-0.2583527255989859,-0.055003388572884,-0.7876108361130375,-0.06596512719787788,-0.05210610060829649,-0.24380763561821633,0.28282784889034956,9
5.740341138839722,0.604194201550851,0.008559131622314453,0.002741956174712526,6,Lasso(max_iter=5000),passthrough,0.0010109484468376801,"OrderedDict({'poly__degree': 6, 'regressor': Lasso(max_iter=5000), 'regressor__alpha': 0.0010109484468376801, 'selector': 'passthrough'})",-0.25912191200542123,-0.05536106535097016,-0.7911864145156745,-0.06585045806726436,-0.05239919471632388,-0.2447838089311308,0.28413776525225726,10
